,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,book_value,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,forward_pe,latest_dividend_amount,market_cap,price_to_book,shares_outstanding,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
54,2024-10-07 00:00:00-04:00,2024-10-07,00:00:00,1728273600,91.97791720400429,92.25874450995208,91.76486968508003,91.83265686035156,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9677187087675573,93.98283188247558,94.56349638576998,16.84032037938212,-0.3999498604167826,0.11345581403085396,-0.5134056744476365,98.53881757648045,95.39125595092773,92.243694325375,1.239915774313994,1.2589689493368696,-98.760084225686,-192.19293368191245,29.66830855347095,10.338127487431443,51.95204103747398,229137137.4,98.11033311288622,94.93760139898313,91.76486968508003,97.28203239264464,95.41080585365839,93.53957931467214,-0.007535323607308242,
55,2024-10-08 00:00:00-04:00,2024-10-08,00:00:00,1728360000,91.40655304453273,92.02632355556828,91.35813047188262,91.98758697509766,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9258153329480153,93.62006008113414,94.31817167999166,21.420205147525422,-0.545331322084408,-0.018301613192198432,-0.5270297088922096,98.50397000379057,95.1309684753418,91.75796694689303,13.02606680815627,5.600991218722292,-86.97393319184373,-175.30545679522376,32.362899101352575,10.806042012023251,48.504885736192435,213334576.2,98.11033311288622,94.73423179238442,91.35813047188262,96.9839609062786,95.15113019428537,93.31829948229215,0.00168709171707504,
56,2024-10-09 00:00:00-04:00,2024-10-09,00:00:00,1728446400,91.67770051079249,91.91011999055178,91.25161290772813,91.46465301513672,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9218474875399697,93.22816788731643,94.04640799762453,20.832847168061704,-0.6947351042757646,-0.15358831140891166,-0.541146792866853,98.4596509737336,94.84839553833008,91.23714010292656,4.3135995150056505,6.193194032491976,-95.68640048499435,-162.23614328848663,35.00096890355132,10.852553723294465,43.77988099304393,197532015.0,98.11033311288622,94.68097301030718,91.25161290772813,96.68699748584723,94.86647860045665,93.04595971506606,-0.005684831803474788,
57,2024-10-10 00:00:00-04:00,2024-10-10,00:00:00,1728532800,90.91267085745802,91.11603236369555,90.45753266059151,91.10635375976562,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9565522632185305,92.842383500489,93.76640283211415,20.85667033500765,-0.8324544171985764,-0.2893615325668446,-0.5430928846317318,98.43987979882111,94.57059097290039,90.70130214697967,11.31753896910472,9.552401764088884,-88.68246103089528,-163.84090849861397,37.245110538482265,10.458811052884393,47.760724425116976,181729453.8,98.11033311288622,94.28393288673887,90.45753266059151,96.41109232585684,94.57866506747715,92.74623780909745,-0.003917352152550069,
58,2024-10-11 00:00:00-04:00,2024-10-11,00:00:00,1728619200,90.52531743940227,91.09666536256933,90.46720887612047,90.73835754394531,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9284310602154956,92.45983332657197,93.47801756657427,20.403715781042777,-0.9602233272497216,-0.42353389150342,-0.5366894357463016,98.32281562014347,94.26135520935058,90.1998947985577,4.898494461565036,6.843210981891807,-95.10150553843496,-142.30490261357042,40.262317575623555,10.775597469659678,44.00891149037103,161976252.3,98.11033311288622,94.28393288673887,90.45753266059151,96.11332906899773,94.27393881652367,92.4345485640496,-0.004039193762387483,
59,2024-10-14 00:00:00-04:00,2024-10-14,00:00:00,1728878400,90.09923002724909,90.81583833648565,90.04112884733058,90.80615234375,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9120614012314446,92.15916405696797,93.22355421201958,21.159652130258905,-1.0439763259976758,-0.5476223784022712,-0.4963539475954045,97.89099413536105,93.91110725402832,89.93122037269559,12.440852163352014,9.55229519800726,-87.559147836648,-129.42794254717097,44.31708303635275,10.96899766803401,46.85053388015674,142223050.8,98.11033311288622,94.0757309801084,90.04112884733058,95.74945428045115,93.92525919546014,92.10106411046914,0.000747145988088338,
60,2024-10-15 00:00:00-04:00,2024-10-15,00:00:00,1728964800,91.47433712861351,91.9972698649619,91.38718536667896,91.91011810302734,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9378461550945829,92.1138829744333,93.09846505878222,34.178556252703615,-1.0096319615872176,-0.6400242950392605,-0.36960766654795707,97.36795151815548,93.63970756530762,89.91146361245976,30.393601155838386,15.910982593585151,-69.6063988441616,-72.4822278441097,46.80594917174102,19.66548128922559,45.12139086873475,126420489.6,97.23194871381791,93.63653878057426,90.04112884733058,95.4917670323663,93.63533490013046,91.77890276789462,0.012157389458571588,0.1352966667637444
61,2024-10-16 00:00:00-04:00,2024-10-16,00:00:00,1729051200,92.37495088771877,92.59768439161536,92.13285278655832,92.29747772216797,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9297310103025802,92.14726383765777,93.02218055053325,35.51607262567214,-0.9403177239941556,-0.7000829808302396,-0.24023474316391602,97.02810970717664,93.44800491333008,89.86790011948352,36.692863568477854,26.509105629222756,-63.307136431522146,-43.513024952573225,46.715198741674996,24.449944073790242,42.7713162245658,114568568.7,96.19041417259959,93.11577150996509,90.04112884733058,95.22806069158455,93.42835596500584,91.62865123842712,0.004214548160044851,0.1354310373877735
62,2024-10-17 00:00:00-04:00,2024-10-17,00:00:00,1729137600,91.30971525931113,91.45497558896936,90.70930934457247,90.835205078125,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9949068816629156,91.90870769956089,92.81389717220866,26.327782250329022,-0.9919443559005288,-0.7584552558442974,-0.23348910005623136,96.77906199211587,93.1991153717041,89.61916875129232,12.913309251261316,26.666591325192524,-87.08669074873868,-87.4833167557161,48.570282597173836,19.31379607240077,50.18960810154578,102716647.8,96.19041417259959,93.11577150996509,90.04112884733058,95.07414567407739,93.19477650004734,91.3154073260173,-0.01584304013642357,0.13763258964851888
63,2024-10-18 00:00:00-04:00,2024-10-18,00:00:00,1729224000,91.07731081050306,91.30003693152865,90.89331388494008,90.90299987792969,39506403,0.0,0.0,0.0,37732140,148.865,86.505,85.96,68.5,4.39,86.1616,101.64,83.3,-4300.0,0.328,9434200064,0.5777046,109700000,89.22115,0.9708821294061382,91.72585173199158,92.6319069537059,28.270035919175726,-1.0156802304193917,-0.8099002507593164,-0.20577997966007533,96.52803025828574,92.97195625305176,89.41588224781778,14.015791836125302,21.20732155195483,-85.9842081638747,-78.68714070518087,48.88394568632551,19.79172140620125,49.08800832374142,94815367.2,96.19041417259959,93.11577150996509,90.04112884733058,94.84442167908965,92.97069466922378,91.0969676593579,0.0007463493889443562,0.136722964909521
