,datetime,date,time,timestamp,open,high,low,close,volume,Capital Gains,Dividends,Stock Splits,average_volume,day_high,day_low,dividend_frequency,dividend_yield,fifty_day_average,fifty_two_week_high,fifty_two_week_low,latest_dividend_amount,latest_split_ratio,market_cap,shares_outstanding,split_frequency,two_hundred_day_average,atr,ema_short,ema_long,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,stoch_k,stoch_d,williams_r,cci,adx,plus_di,minus_di,obv,donchian_upper,donchian_middle,donchian_lower,keltner_upper,keltner_middle,keltner_lower,returns,volatility
162,2024-03-15 00:00:00-04:00,2024-03-15,00:00:00,1710475200,24.668068987541556,24.68716235708425,24.644203186035156,24.644203186035156,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08523659981628638,24.768751957939514,24.759346317606152,52.348566723967316,0.016180380924048166,0.027048113451288273,-0.010867732527240107,25.002628877548027,24.73370227813721,24.46477567872639,16.278808870995537,31.063000799003685,-83.72119112900445,-43.3305180371445,33.10944424617046,34.39979511613229,25.599953156387517,-15884382.7,24.987875841517663,24.7539859788511,24.52009611618454,24.899650782652436,24.736884202633505,24.574117622614573,-0.0005807474036537696,0.04975384095382797
163,2024-03-18 00:00:00-04:00,2024-03-18,00:00:00,1710734400,24.63942823979959,24.653749176975545,24.601243322632776,24.615562438964844,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.0845548235332055,24.740899318125933,24.74565261487841,52.70247284567596,0.00275969215252303,0.022190429191535226,-0.019430737039012196,25.00241666187507,24.733940601348877,24.465464540822683,3.703546813228918,13.249904354650752,-96.29645318677107,-64.08104610322546,31.270986018768046,33.871059001223735,29.435448217677635,-16331830.1,24.987875841517663,24.7539859788511,24.52009611618454,24.899571269430453,24.738236305877432,24.576901342324412,-0.0011621697343634496,0.049796245215631425
164,2024-03-19 00:00:00-04:00,2024-03-19,00:00:00,1710820800,24.653751127363364,24.69671030060201,24.64420444210544,24.658523559570312,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08387315192056352,24.725921907479457,24.73735460961097,50.35452551393447,-0.004359444040716198,0.016880454545084942,-0.02123989858580114,25.00124370023697,24.73608865737915,24.47093361452133,14.815162755254633,11.599172813159702,-85.18483724474537,-41.750876128295886,30.03517237737525,35.36592125399573,29.67468221563669,-16779277.5,24.987875841517663,24.7539859788511,24.52009611618454,24.905300139492635,24.74014571000031,24.574991280507984,0.0017452829165285344,0.04904242399647414
165,2024-03-20 00:00:00-04:00,2024-03-20,00:00:00,1710907200,24.66807412754111,24.753992487541808,24.658527440780553,24.74444580078125,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08489629071692104,24.72928988807978,24.738029961150996,51.724270967101894,-0.003033238693340934,0.012897715897399766,-0.0159309545907407,24.999263737298968,24.74420347213745,24.489143206975932,37.03839463930606,18.51903473592988,-62.96160536069394,-16.223291813470627,30.116883673215135,34.13673455992499,29.317053885965194,-17003001.2,24.987875841517663,24.7539859788511,24.52009611618454,24.913813259556527,24.74627167738699,24.578730095217452,0.00348448442192284,0.04954032409568354
166,2024-03-21 00:00:00-04:00,2024-03-21,00:00:00,1710993600,24.839905146702826,24.84945183127239,24.773080175559794,24.787399291992188,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08046355959416372,24.739855234245674,24.742731802183492,47.76097594432036,0.0014668672303272956,0.010611546163985273,-0.009144678933657977,24.995698520914104,24.755659294128417,24.51562006734273,48.14803728778853,33.33386489411642,-51.851962712211474,28.45634139490967,29.785753838045515,36.016848525851394,30.932128061695508,-17003001.2,24.987875841517663,24.770693742597466,24.553511643677272,24.92558676747921,24.75804575257296,24.590504737666713,0.0017358841477703724,0.049436507986806356
167,2024-03-22 00:00:00-04:00,2024-03-22,00:00:00,1711080000,24.90195745527605,24.911504140455225,24.86854496757095,24.88286590576172,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08523665925564496,24.76585717452132,24.75607790728618,55.62915134033713,0.012591445138117052,0.01100752595881163,0.0015839191793054225,25.006366988380314,24.768785667419433,24.53120434645855,72.83985939444236,52.67543044051232,-27.160140605557633,74.22740110025552,29.77957218835503,39.199971547570065,29.1999845066864,-17003001.2,24.987875841517663,24.782627534101117,24.57737922668457,24.942452220154824,24.77204722349846,24.6016422268421,0.00385141711096626,0.05002439533959431
168,2024-03-25 00:00:00-04:00,2024-03-25,00:00:00,1711339200,24.873315313142655,24.873315313142655,24.79694366455078,24.79694366455078,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08148657129813941,24.77150926361758,24.759969884168523,42.176839312605665,0.014309594397900582,0.01166793964662942,0.002641654751271162,25.003907498800697,24.7780930519104,24.552278605020103,50.616627510390934,57.20150806420728,-49.38337248960906,27.185184416062366,26.842014679098416,29.288719555535646,36.82014055303058,-17003001.2,24.987875841517663,24.782627534101117,24.57737922668457,24.956612967297886,24.78286615114343,24.609119334988975,-0.003453068530624548,0.049574518591296614
169,2024-03-26 00:00:00-04:00,2024-03-26,00:00:00,1711425600,24.811267693204062,24.83036106434416,24.78262763649391,24.816041946411133,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.07910001688300053,24.77960611503459,24.765310080572583,42.177153668004046,0.017016160098581423,0.012737583737019822,0.004278576361561601,24.995487858177125,24.79002618789673,24.584564517616332,56.25060886285303,59.902365255895454,-43.74939113714698,12.382513865569157,24.606603636018303,25.862060890254686,39.223814025660374,-16779277.5,24.987875841517663,24.79455958207522,24.601243322632776,24.965761941933817,24.793446855224925,24.621131768516033,0.0007701869278209372,0.04913009966162976
170,2024-03-27 00:00:00-04:00,2024-03-27,00:00:00,1711512000,24.83990798617587,24.901958711705248,24.83513373292339,24.897186279296875,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08012282844846982,24.800984326718638,24.777869718546327,48.76560414976038,0.025415824623060246,0.015273231914227909,0.010142592708832337,25.002444253987672,24.80219793319702,24.60195161240637,77.50036386734915,61.45586674686438,-22.499636132650842,59.311913425357794,22.099208987485746,31.914764735968117,36.16990155704953,-16555553.8,24.987875841517663,24.79455958207522,24.601243322632776,24.977058473928654,24.80522083711177,24.633383200294883,0.0032698338059296006,0.04958188250127321
171,2024-03-28 00:00:00-04:00,2024-03-28,00:00:00,1711598400,24.86854622231432,24.92582633627943,24.859001357497576,24.897186279296875,2237237,0.0,0.0,0.0,3723142,26.63,26.56,29.75,3.09,26.4424,53.11,25.68,0.105,2.0,3078304000,115900000,1,26.3548,0.08012272139148381,24.81847559082377,24.789233200522567,48.12507023962639,0.03170711934026471,0.018560009399435272,0.01314710994082944,25.011695487545957,24.811028385162352,24.610361282778747,86.11129171412357,73.28742148144192,-13.888708285876444,66.13319431106348,18.398406581734886,31.489216014117293,36.16994988592026,-16443691.95,24.987875841517663,24.79455958207522,24.601243322632776,24.98477517849449,24.814369542281668,24.643963906068844,0.0,0.049504003824031605
